codigoParlamentar,codigoDiscurso,urlDiscurso,anoDiscurso,dataDiscurso,resumoDiscurso,codigoMateria,tipoSigla,tipoDescricao
5672,499464,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/499464,2023,2023-08-08,"Manifestação favorável ao Projeto de Lei 130/2019, que amplia a assistência à gestante do pré-natal ao puerpério, com destaque para a assistência à saúde mental. Relato de uma experiência vivida por S. Exa., que demosntra a relevância do apoio psicológico para a mãe e seus familiares.",154932,DIS,Discurso
5672,498472,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/498472,2023,2023-06-20,"Defesa do Programa Mais Médicos e de sua importância para atenção básica de saúde nos municípios mais pobres do País. Exposição sobre o Projeto de Lei no. 2970/2023, de autoria de S. Exa., que dispõe sobre o bônus de inclusão regional nos processos seletivos para ingresso nos cursos de graduação em instituições federais de ensino superior.",158017,DIS,Discurso
5672,498448,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/498448,2023,2023-06-20,"Discussão sobre a Medida Provisória (MPV) n° 1165, de 2023, Programa Mais Médicos, que ""Institui a Estratégia Nacional de Formação de Especialistas para a Saúde, no âmbito do Programa Mais Médicos, e altera a Lei nº 12.871, de 22 de outubro de 2013"".",156368,PDI,Discussão
5672,498299,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/498299,2023,2023-06-13,"Apoio ao Programa Mais Médicos e à aprovação da Medida Provisória nº 1165, de 2023,que institui a Estratégia Nacional de Formação de Especialistas para a Saúde, no âmbito do programa, entre outras alterações. Preocupação com a possibilidade de boicote, organizado por médicos com registro nacional, ao programa e comunicação de envio de ofício ao Ministério da Saúde cobrando a apuração das denúncias.",156368,DIS,Discurso
5672,498299,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/498299,2023,2023-06-13,"Apoio ao Programa Mais Médicos e à aprovação da Medida Provisória nº 1165, de 2023,que institui a Estratégia Nacional de Formação de Especialistas para a Saúde, no âmbito do programa, entre outras alterações. Preocupação com a possibilidade de boicote, organizado por médicos com registro nacional, ao programa e comunicação de envio de ofício ao Ministério da Saúde cobrando a apuração das denúncias.",125656,DIS,Discurso
5672,497875,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/497875,2023,2023-05-24,"Defesa da importância das instituições Sesc e Senac para o desenvolvimento social do País ante a eventual perda de recursos em favor da Embratur, decorrente da aprovação, como veio da Câmara dos Deputados, do Projeto de Lei de Conversão nº 9, 2023, que instituiu o Programa Emergencial de Retomada do Setor de Eventos - Perse.",155580,DIS,Discurso
5672,497739,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/497739,2023,2023-05-23,"Discussão sobre o Projeto de Lei da Câmara (PLC) n° 130, de 2018, que ""Dispõe sobre a realização de exames em gestantes.""",134807,PDI,Discussão
5672,497763,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/497763,2023,2023-05-22,Sessão Solene destinada a promover a ação do Dia Livre de Impostos e reforçar a importância do diálogo sobre a pauta da Reforma Tributária em nosso país.,157263,DIS,Discurso
5672,497686,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/497686,2023,2023-05-15,Sessão Solene destinada a homenagear o Estado de Israel pelos 75 anos decorridos desde sua criação.,157259,DIS,Discurso
5672,497252,https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/497252,2023,2023-05-03,"Exposição crítica acerca do Projeto de Lei nº 2620/2023, conhecido como PL da ""fake news"", por representar supostamente uma censura aos meios de comunicação não convencionais, como as redes sociais.",141944,DIS,Discurso
