CodigoMateria,CodigoParlamentar,DataApresentacao
73682,3393,2007-04-16
73682,3399,2009-05-21
80801,4877,2011-08-23
96399,5895,2022-06-21
99517,1173,2019-08-20
99558,5016,2012-11-13
99654,111,2011-04-06
101506,3806,2019-06-11
101506,3806,2019-06-11
101821,715,2012-04-26
102060,4558,2015-05-19
102718,643,2013-08-14
102718,643,2013-08-14
102718,643,2018-03-13
102718,643,2018-03-13
103844,,2021-03-15
103844,,2021-03-15
103844,739,2021-03-15
103844,40,2012-08-07
103844,4877,2012-08-28
103844,5895,2021-03-16
103844,2331,2021-03-16
103844,1186,2021-03-16
103844,5988,2021-03-16
103844,5899,2021-03-16
104090,35,2021-12-14
104540,2331,2022-03-07
105590,3372,2018-05-08
106404,5008,2014-02-10
106404,5008,2014-02-10
106404,5008,2014-02-10
106404,5008,2014-02-10
106404,73,2014-02-18
106404,5008,2014-02-19
106404,111,2014-03-12
106404,111,2014-03-12
106404,4776,2014-03-13
106404,111,2014-12-10
106404,715,2014-12-10
106404,715,2014-12-10
106404,715,2014-12-10
106404,715,2014-12-10
106404,5002,2014-12-11
106404,5002,2014-12-11
106404,5002,2014-12-11
106404,5002,2014-12-11
106404,5002,2014-12-11
106404,3634,2014-12-11
106404,4869,2014-12-12
106404,4869,2014-12-12
106404,4869,2014-12-12
106404,4869,2014-12-12
106404,4869,2014-12-12
106404,4869,2014-12-12
106404,4869,2014-12-12
106404,4869,2014-12-12
106404,4869,2014-12-12
106404,4869,2014-12-12
106404,4981,2014-12-12
106404,4981,2014-12-12
106404,631,2014-12-12
106404,631,2014-12-12
106404,631,2014-12-12
106404,631,2014-12-12
106404,631,2014-12-12
106404,4869,2014-12-12
106404,4776,2014-12-12
106404,4776,2014-12-12
106404,4776,2014-12-12
106404,4776,2014-12-12
106404,4776,2014-12-12
106404,4776,2014-12-12
106404,4776,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5008,2014-12-12
106404,5000,2014-12-12
106404,5000,2014-12-12
106404,5000,2014-12-12
106404,5000,2014-12-12
106404,5000,2014-12-12
106404,5000,2014-12-12
106404,5000,2014-12-12
106404,5000,2014-12-12
106404,5000,2014-12-12
106404,5012,2014-12-12
106404,5012,2014-12-12
106404,5012,2014-12-12
106404,5012,2014-12-12
106404,5012,2014-12-12
106404,5012,2014-12-12
106404,5012,2014-12-12
106404,5012,2014-12-12
106404,5012,2014-12-12
106404,5197,2014-12-12
106404,5012,2014-12-12
106404,5012,2015-04-09
106404,5012,2015-04-09
106404,5012,2015-04-09
106404,5012,2015-04-09
