CodigoMateria,Identificacao,LocalRelatoria,CodigoTipoRelator,DataDesignacao,DataDestituicao,DescricaoMotivoDestituicao,DescricaoTipoRelator,CodigoParlamentar,interesse,justificativa_interesse
158817,PL 3594/2023,CAE,1,2023-10-19,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CAE
159501,PL 4161/2023,CRA,1,2023-10-17,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CRA
157505,PL 2697/2023,CAE,1,2023-10-11,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CAE
159777,PL 5826/2019,CRA,1,2023-10-04,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CRA
149870,PL 3220/2021,CAS,1,2023-09-04,2023-09-28,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CAS
131508,PDS 203/2017,CCDD,1,2023-09-01,2023-09-28,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CCDD
152432,PDL 630/2021,CCDD,1,2023-09-01,2023-09-28,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CCDD
152444,PDL 657/2021,CCDD,1,2023-09-01,2023-09-28,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CCDD
151608,PDL 514/2019,CCDD,1,2023-09-01,2023-09-28,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CCDD
114801,PDS 253/2013,CCDD,1,2023-09-01,2023-09-28,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CCDD
98891,PDS 30/2011,CCDD,1,2023-09-01,2023-09-28,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CCDD
97058,PDS 408/2010,CCDD,1,2023-09-01,2023-09-28,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CCDD
151723,PDL 391/2021,CCDD,1,2023-09-01,2023-09-28,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CCDD
153905,PL 1861/2022,CRA,1,2023-08-16,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CRA
158817,PL 3594/2023,CRA,1,2023-08-11,2023-10-04,Deliberação da matéria,Relator,5672,7,Relatou a matéria há menos de 1 ano em CRA
155747,PL 89/2023,CAE,1,2023-07-13,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CAE
138890,PL 5158/2019,CAE,1,2023-07-13,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CAE
138415,PL 4776/2019,CAE,1,2023-07-13,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CAE
150546,PL 3814/2021,CCDD,1,2023-07-12,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CCDD
154367,PL 2750/2020,CCDD,1,2023-07-12,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CCDD
133136,PDS 44/2018,CCDD,1,2023-07-12,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CCDD
151828,PDL 405/2021,CCDD,1,2023-07-12,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CCDD
155500,PLP 178/2021,PLEN,1,2023-07-04,2023-07-05,Matéria deliberada no plenário,Relator,5672,7,Relatou a matéria há menos de 1 ano em PLEN
157207,PL 2307/2023,CI,1,2023-06-01,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CI
156017,PL 880/2023,CI,1,2023-06-01,2023-06-21,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CI
155829,PL 426/2023,CAE,1,2023-05-25,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CAE
150724,PL 3967/2021,CAE,1,2023-05-25,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CAE
156264,PL 1162/2023,CAE,1,2023-05-10,2023-09-19,Deliberação da matéria,Relator,5672,7,Relatou a matéria há menos de 1 ano em CAE
151828,PDL 405/2021,CCT,1,2023-05-02,2023-06-23,Criação de nova comissão,Relator,5672,0,Foi designado como relator mas a matéria foi prejudicada em CCT
150546,PL 3814/2021,CCT,1,2023-04-13,2023-06-22,Criação de nova comissão,Relator,5672,0,Foi designado como relator mas a matéria foi prejudicada em CCT
154367,PL 2750/2020,CCT,1,2023-04-13,2023-06-22,Criação de nova comissão,Relator,5672,0,Foi designado como relator mas a matéria foi prejudicada em CCT
147538,PRS 18/2021,CAS,1,2023-04-05,2023-04-10,Redistribuição,Relator,5672,-5,Foi relator mas houve redistribuição da relatoria em CAS
154932,PL 130/2019,CAE,1,2023-04-05,2023-08-08,Deliberação da matéria,Relator,5672,7,Relatou a matéria há menos de 1 ano em CAE
155615,PL 4783/2020,CAE,1,2023-04-05,,,Relator,5672,4,Relator atual designado há menos de 1 ano em CAE
155500,PLP 178/2021,CAE,1,2023-03-30,2023-07-05,Matéria deliberada no plenário,Relator,5672,7,Relatou a matéria há menos de 1 ano em CAE
